vano;pop
1991;12807706
1992;12975915.04
1993;13146333.25
1994;13318989.63
1995;13493913.58
1996;13671134.88
1997;13850683.7
1998;14032590.61
1999;14216886.59
2000;14403603
2001;14547984.81
2002;14695176.8
2003;14845296.55
2004;14998469.86
2005;15154831.57
2006;15314526.35
2007;15477709.67
2008;15644548.76
2009;15815223.78
2010;15989929
2011;16112678
2012;16231365
2013;16369178
2014;16461173
2015;16550024
2016;16635996
2017;16829804.85
2018;17028811.67
2019;17233318.99
2020;17443655.35
